X,Y,Nome,Municipio,Codigo,Estado,Categoria,Operadora,icon_url
-50.787222,-20.846667,ARAÇATUBA,SANTO ANTÔNIO DO ARACANGUÁ,Não Informado,SP,Doméstico,NÃO INFORMADA,./0.png
-50.548611,-20.258889,JALES,JALES,Não Informado,SP,Doméstico,JALES,./0.png
-50.839581,-17.761224,RIO VERDE,RIO VERDE,Não Informado,GO,Doméstico,NÃO INFORMADA,./0.png
-63.888061,-8.827901,AEROPORTO DE PORTO VELHO,PORTO VELHO,SBPV,RO,Doméstico,INFRAERO,./0.png
-60.15935,-12.745251,VILHENA,VILHENA,Não Informado,RO,Doméstico,NÃO INFORMADA,./0.png
-61.80128,-10.779774,JI-PARANA,JI-PARANA,Não Informado,RO,Doméstico,NÃO INFORMADA,./0.png
-59.23315,-11.432062,JUINA,JUINA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-59.414462,-10.216989,ARIPUANA,ARIPUANA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-66.600624,-4.796386,CARAUARI,CARAUARI,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-64.762169,-7.190409,LABREA,LABREA,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-67.100336,-0.221612,ICANA,SÃO GABRIEL DA CACHOEIRA,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-64.850947,-3.558866,AEROPORTO DE TEFÉ,TEFÉ,SBTF,AM,Doméstico,INFRAERO,./0.png
-61.476528,-6.022056,MANICORE,MANICORE,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-59.876031,-4.539615,BORBA,BORBA,Não Informado,AM,Doméstico,NÃO INFORMADA,./0.png
-60.022657,-3.075122,AEROPORTO INTERNACIONAL EDUARDO GOMES,MANAUS,SBEG,AM,Internacional,INFRAERO,./0.png
-56.150141,-15.656222,AEROPORTO INTERNACIONAL MARECHAL RONDON,VÁRZEA GRANDE,Não Informado,MT,Internacional,INFRAERO,./0.png
-54.572754,-16.391112,RONDONÓPOLIS,RONDONÓPOLIS,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-57.566353,-11.083902,JURUA,JUARA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-58.520446,-10.332286,JURUENA,NOVA BANDEIRANTES,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-56.047467,-9.957502,ALTA FLORESTA,ALTA FLORESTA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-54.886488,-10.115198,NATUPA,MATUPA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-52.193045,-15.516616,ARAGARÇAS,BARRA DO GARCAS,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-50.930218,-11.676465,SÃO FELIX,FORMOSO DO ARAGUAIA,Não Informado,MT,Doméstico,NÃO INFORMADA,./0.png
-56.757463,-5.030894,ITAIATUBA,ITAIATUBA,Não Informado,PA,Doméstico,NÃO INFORMADA,./0.png
